"","sex","total_positive","month","day","month.day","difference"
"1","Female",5015,4,2,4.2,0
"2","Female",5674,4,3,4.3,659
"3","Female",6349,4,4,4.4,675
"4","Female",6740,4,5,4.5,391
"5","Female",7600,4,6,4.6,860
"6","Female",8108,4,7,4.7,508
"7","Female",8776,4,8,4.8,668
"8","Female",9387,4,9,4.9,611
"9","Female",9981,4,10,4.1,594
"10","Female",10571,4,11,4.11,590
"11","Female",10877,4,12,4.12,306
"12","Female",11352,4,13,4.13,475
"13","Female",11934,4,14,4.14,582
"14","Female",12771,4,15,4.15,837
"15","Female",13424,4,16,4.16,653
"16","Female",14185,4,17,4.17,761
"17","Female",14902,4,18,4.18,717
"18","Female",15224,4,19,4.19,322
"19","Female",16363,4,20,4.2,1139
"20","Female",17411,4,21,4.21,1048
"21","Female",18395,4,22,4.22,984
"22","Female",19394,4,23,4.23,999
"23","Female",20395,4,24,4.24,1001
"24","Female",20908,4,25,4.25,513
"25","Female",21562,4,26,4.26,654
"26","Female",22384,4,27,4.27,822
"27","Female",23154,4,28,4.28,770
"28","Female",24247,4,29,4.29,1093
"29","Female",24973,4,30,4.3,726
"30","Female",25881,5,1,5.1,908
"31","Female",26556,5,2,5.2,675
"32","Female",27239,5,3,5.3,683
"33","Female",27853,5,4,5.4,614
"34","Female",29190,5,5,5.5,1337
"35","Female",30109,5,6,5.6,919
"36","Female",30972,5,7,5.7,863
"37","Female",31756,5,8,5.8,784
"38","Female",32660,5,9,5.9,904
"39","Female",33291,5,10,5.1,631
"40","Female",33992,5,11,5.11,701
"41","Female",34851,5,12,5.12,859
"42","Female",35890,5,13,5.13,1039
"43","Female",36728,5,14,5.14,838
"44","Female",37676,5,15,5.15,948
"45","Female",38662,5,16,5.16,986
"46","Female",39425,5,17,5.17,763
"47","Female",40105,5,18,5.18,680
"48","Female",41226,5,19,5.19,1121
"49","Female",42252,5,20,5.2,1026
"50","Female",43272,5,21,5.21,1020
"51","Female",44539,5,22,5.22,1267
"52","Female",45597,5,23,5.23,1058
"53","Female",46544,5,24,5.24,947
"54","Female",47595,5,25,5.25,1051
"55","Female",48739,5,26,5.26,1144
"56","Female",50091,5,27,5.27,1352
"57","Female",51169,5,28,5.28,1078
"58","Female",52561,5,29,5.29,1392
"59","Female",54396,5,30,5.3,1835
"60","Female",55605,5,31,5.31,1209
"61","Female",56728,6,1,6.1,1123
"62","Female",57878,6,2,6.2,1150
"63","Female",58886,6,3,6.3,1008
"64","Female",60404,6,4,6.4,1518
"65","Female",61848,6,5,6.5,1444
"66","Female",63173,6,6,6.6,1325
"67","Female",64392,6,7,6.7,1219
"68","Female",65556,6,8,6.8,1164
"69","Female",66889,6,9,6.9,1333
"70","Female",68430,6,10,6.1,1541
"71","Female",69729,6,11,6.11,1299
"72","Female",71501,6,12,6.12,1772
"73","Female",73095,6,13,6.13,1594
"74","Female",74350,6,14,6.14,1255
"75","Female",75416,6,15,6.15,1066
"76","Female",77199,6,16,6.16,1783
"77","Female",79243,6,17,6.17,2044
"78","Female",81326,6,18,6.18,2083
"79","Female",83285,6,19,6.19,1959
"80","Female",85516,6,20,6.2,2231
"81","Female",87641,6,21,6.21,2125
"82","Female",90119,6,22,6.22,2478
"83","Female",93554,6,23,6.23,3435
"84","Female",96068,6,24,6.24,2514
"85","Female",98564,6,25,6.25,2496
"86","Female",101509,6,26,6.26,2945
"87","Female",103517,6,27,6.27,2008
"88","Female",106610,6,28,6.28,3093
"89","Female",109850,6,29,6.29,3240
"90","Female",114626,6,30,6.3,4776
"91","Female",118389,7,1,7.1,3763
"92","Female",122484,7,2,7.2,4095
"93","Female",125717,7,3,7.3,3233
"94","Female",128461,7,4,7.4,2744
"95","Female",134224,7,5,7.5,5763
"96","Female",137284,7,6,7.6,3060
"97","Female",142868,7,7,7.7,5584
"98","Female",146384,7,8,7.8,3516
"99","Female",150192,7,9,7.9,3808
"100","Female",154241,7,10,7.1,4049
"101","Female",158488,7,11,7.11,4247
"102","Female",162718,7,12,7.12,4230
"103","Female",166525,7,13,7.13,3807
"104","Female",172288,7,14,7.14,5763
"105","Female",176728,7,15,7.15,4440
"106","Female",181894,7,16,7.16,5166
"107","Female",186551,7,17,7.17,4657
"108","Female",191173,7,18,7.18,4622
"109","Female",194690,7,19,7.19,3517
"110","Female",199561,7,20,7.2,4871
"111","Female",206176,7,21,7.21,6615
"112","Female",212405,7,22,7.22,6229
"113","Female",217370,7,23,7.23,4965
"114","Female",222622,7,24,7.24,5252
"115","Female",226906,7,25,7.25,4284
"116","Female",230423,7,26,7.26,3517
"117","Female",233477,7,27,7.27,3054
"118","Female",238049,7,28,7.28,4572
"119","Female",242598,7,29,7.29,4549
"120","Female",246279,7,30,7.3,3681
"121","Female",249479,7,31,7.31,3200
"122","Female",254017,8,1,8.1,4538
"123","Female",256875,8,2,8.2,2858
"124","Female",259130,8,3,8.3,2255
"125","Female",261806,8,4,8.4,2676
"126","Female",264666,8,5,8.5,2860
"127","Female",269155,8,6,8.6,4489
"128","Female",273123,8,7,8.7,3968
"129","Female",277523,8,8,8.8,4400
"130","Female",281543,8,9,8.9,4020
"131","Female",287810,8,10,8.1,6267
"132","Female",293952,8,11,8.11,6142
"133","Female",297645,8,12,8.12,3693
"134","Female",301863,8,13,8.13,4218
"135","Female",308346,8,14,8.14,6483
"136","Female",312301,8,15,8.15,3955
"137","Female",315642,8,16,8.16,3341
"138","Female",317984,8,17,8.17,2342
"139","Female",321189,8,18,8.18,3205
"140","Female",324262,8,19,8.19,3073
"141","Female",327161,8,20,8.2,2899
"142","Female",330632,8,21,8.21,3471
"143","Female",334071,8,22,8.22,3439
"144","Female",336578,8,23,8.23,2507
"145","Female",338946,8,24,8.24,2368
"146","Female",342058,8,25,8.25,3112
"147","Female",344479,8,26,8.26,2421
"148","Female",347253,8,27,8.27,2774
"149","Female",349907,8,28,8.28,2654
"150","Female",353037,8,29,8.29,3130
"151","Female",355181,8,30,8.3,2144
"152","Female",357162,8,31,8.31,1981
"153","Female",359315,9,1,9.1,2153
"154","Female",362183,9,2,9.2,2868
"155","Female",364956,9,3,9.3,2773
"156","Female",367462,9,4,9.4,2506
"157","Female",369877,9,5,9.5,2415
"158","Female",371456,9,6,9.6,1579
"159","Female",372728,9,7,9.7,1272
"160","Female",373544,9,8,9.8,816
"161","Female",375254,9,9,9.9,1710
"162","Female",376954,9,10,9.1,1700
"163","Female",378984,9,11,9.11,2030
"164","Female",381278,9,12,9.12,2294
"165","Female",382809,9,13,9.13,1531
"166","Female",383892,9,14,9.14,1083
"167","Female",385393,9,15,9.15,1501
"168","Female",386895,9,16,9.16,1502
"169","Female",388633,9,17,9.17,1738
"170","Female",390834,9,18,9.18,2201
"171","Female",392944,9,19,9.19,2110
"172","Female",394632,9,20,9.2,1688
"173","Female",395828,9,21,9.21,1196
"174","Female",397436,9,22,9.22,1608
"175","Female",399084,9,23,9.23,1648
"176","Female",400779,9,24,9.24,1695
"177","Female",402911,9,25,9.25,2132
"178","Female",404887,9,26,9.26,1976
"179","Female",406263,9,27,9.27,1376
"180","Female",407312,9,28,9.28,1049
"181","Female",408908,9,29,9.29,1596
"182","Female",410433,9,30,9.3,1525
"183","Female",412239,10,1,10.1,1806
"184","Female",413300,10,2,10.2,1061
"185","Female",415440,10,3,10.3,2140
"186","Female",416956,10,4,10.4,1516
"187","Female",417819,10,5,10.5,863
"188","Female",419257,10,6,10.6,1438
"189","Female",421112,10,7,10.7,1855
"190","Female",423126,10,8,10.8,2014
"191","Female",425304,10,9,10.9,2178
"192","Female",427180,10,10,10.1,1876
"193","Female",428996,10,11,10.11,1816
"194","Female",430237,10,12,10.12,1241
"195","Female",431587,10,13,10.13,1350
"196","Female",433299,10,14,10.14,1712
"197","Female",434912,10,15,10.15,1613
"198","Female",436495,10,16,10.16,1583
"199","Female",437997,10,17,10.17,1502
"200","Female",439844,10,18,10.18,1847
"201","Female",441502,10,19,10.19,1658
"202","Female",443416,10,20,10.2,1914
"203","Female",444925,10,21,10.21,1509
"204","Female",448100,10,22,10.22,3175
"205","Female",451184,10,23,10.23,3084
"206","Female",453853,10,24,10.24,2669
"207","Female",455339,10,25,10.25,1486
"208","Female",456990,10,26,10.26,1651
"209","Female",459278,10,27,10.27,2288
"210","Female",461383,10,28,10.28,2105
"211","Female",463411,10,29,10.29,2028
"212","Female",466008,10,30,10.3,2597
"213","Female",468321,10,31,10.31,2313
"214","Male",5547,4,2,4.2,0
"215","Male",6202,4,3,4.3,655
"216","Male",6876,4,4,4.4,674
"217","Male",7296,4,5,4.5,420
"218","Male",7957,4,6,4.6,661
"219","Male",8488,4,7,4.7,531
"220","Male",9130,4,8,4.8,642
"221","Male",9745,4,9,4.9,615
"222","Male",10330,4,10,4.1,585
"223","Male",10926,4,11,4.11,596
"224","Male",11256,4,12,4.12,330
"225","Male",11772,4,13,4.13,516
"226","Male",12265,4,14,4.14,493
"227","Male",13169,4,15,4.15,904
"228","Male",13865,4,16,4.16,696
"229","Male",14535,4,17,4.17,670
"230","Male",15185,4,18,4.18,650
"231","Male",15507,4,19,4.19,322
"232","Male",16641,4,20,4.2,1134
"233","Male",17718,4,21,4.21,1077
"234","Male",18690,4,22,4.22,972
"235","Male",19577,4,23,4.23,887
"236","Male",20459,4,24,4.24,882
"237","Male",20957,4,25,4.25,498
"238","Male",21600,4,26,4.26,643
"239","Male",22337,4,27,4.27,737
"240","Male",23045,4,28,4.28,708
"241","Male",24372,4,29,4.29,1327
"242","Male",25167,4,30,4.3,795
"243","Male",26006,5,1,5.1,839
"244","Male",26716,5,2,5.2,710
"245","Male",27332,5,3,5.3,616
"246","Male",27980,5,4,5.4,648
"247","Male",29193,5,5,5.5,1213
"248","Male",30096,5,6,5.6,903
"249","Male",31111,5,7,5.7,1015
"250","Male",32379,5,8,5.8,1268
"251","Male",33584,5,9,5.9,1205
"252","Male",34221,5,10,5.1,637
"253","Male",34955,5,11,5.11,734
"254","Male",35845,5,12,5.12,890
"255","Male",36826,5,13,5.13,981
"256","Male",37744,5,14,5.14,918
"257","Male",38647,5,15,5.15,903
"258","Male",39701,5,16,5.16,1054
"259","Male",40533,5,17,5.17,832
"260","Male",41214,5,18,5.18,681
"261","Male",42336,5,19,5.19,1122
"262","Male",43450,5,20,5.2,1114
"263","Male",44534,5,21,5.21,1084
"264","Male",45580,5,22,5.22,1046
"265","Male",46595,5,23,5.23,1015
"266","Male",47490,5,24,5.24,895
"267","Male",48614,5,25,5.25,1124
"268","Male",49714,5,26,5.26,1100
"269","Male",51067,5,27,5.27,1353
"270","Male",52177,5,28,5.28,1110
"271","Male",53765,5,29,5.29,1588
"272","Male",55627,5,30,5.3,1862
"273","Male",56841,5,31,5.31,1214
"274","Male",58001,6,1,6.1,1160
"275","Male",59237,6,2,6.2,1236
"276","Male",60336,6,3,6.3,1099
"277","Male",61884,6,4,6.4,1548
"278","Male",63565,6,5,6.5,1681
"279","Male",65024,6,6,6.6,1459
"280","Male",66303,6,7,6.7,1279
"281","Male",67306,6,8,6.8,1003
"282","Male",68667,6,9,6.9,1361
"283","Male",70212,6,10,6.1,1545
"284","Male",71605,6,11,6.11,1393
"285","Male",73480,6,12,6.12,1875
"286","Male",75088,6,13,6.13,1608
"287","Male",76412,6,14,6.14,1324
"288","Male",77466,6,15,6.15,1054
"289","Male",79128,6,16,6.16,1662
"290","Male",81212,6,17,6.17,2084
"291","Male",83438,6,18,6.18,2226
"292","Male",85352,6,19,6.19,1914
"293","Male",87602,6,20,6.2,2250
"294","Male",89690,6,21,6.21,2088
"295","Male",92199,6,22,6.22,2509
"296","Male",95884,6,23,6.23,3685
"297","Male",98718,6,24,6.24,2834
"298","Male",101070,6,25,6.25,2352
"299","Male",104025,6,26,6.26,2955
"300","Male",105949,6,27,6.27,1924
"301","Male",108973,6,28,6.28,3024
"302","Male",112043,6,29,6.29,3070
"303","Male",116952,6,30,6.3,4909
"304","Male",120678,7,1,7.1,3726
"305","Male",124555,7,2,7.2,3877
"306","Male",127760,7,3,7.3,3205
"307","Male",130351,7,4,7.4,2591
"308","Male",136050,7,5,7.5,5699
"309","Male",139077,7,6,7.6,3027
"310","Male",145044,7,7,7.7,5967
"311","Male",148498,7,8,7.8,3454
"312","Male",152444,7,9,7.9,3946
"313","Male",156397,7,10,7.1,3953
"314","Male",160558,7,11,7.11,4161
"315","Male",164635,7,12,7.12,4077
"316","Male",168074,7,13,7.13,3439
"317","Male",173454,7,14,7.14,5380
"318","Male",177540,7,15,7.15,4086
"319","Male",182303,7,16,7.16,4763
"320","Male",186838,7,17,7.17,4535
"321","Male",191472,7,18,7.18,4634
"322","Male",194780,7,19,7.19,3308
"323","Male",199097,7,20,7.2,4317
"324","Male",205180,7,21,7.21,6083
"325","Male",210959,7,22,7.22,5779
"326","Male",215652,7,23,7.23,4693
"327","Male",220392,7,24,7.24,4740
"328","Male",224248,7,25,7.25,3856
"329","Male",227545,7,26,7.26,3297
"330","Male",230415,7,27,7.27,2870
"331","Male",234575,7,28,7.28,4160
"332","Male",238861,7,29,7.29,4286
"333","Male",242315,7,30,7.3,3454
"334","Male",245247,7,31,7.31,2932
"335","Male",249405,8,1,8.1,4158
"336","Male",252050,8,2,8.2,2645
"337","Male",254274,8,3,8.3,2224
"338","Male",256828,8,4,8.4,2554
"339","Male",259382,8,5,8.5,2554
"340","Male",263409,8,6,8.6,4027
"341","Male",266780,8,7,8.7,3371
"342","Male",270528,8,8,8.8,3748
"343","Male",274192,8,9,8.9,3664
"344","Male",279981,8,10,8.1,5789
"345","Male",285476,8,11,8.11,5495
"346","Male",288921,8,12,8.12,3445
"347","Male",292627,8,13,8.13,3706
"348","Male",298738,8,14,8.14,6111
"349","Male",302532,8,15,8.15,3794
"350","Male",305562,8,16,8.16,3030
"351","Male",307821,8,17,8.17,2259
"352","Male",310752,8,18,8.18,2931
"353","Male",313639,8,19,8.19,2887
"354","Male",316372,8,20,8.2,2733
"355","Male",319444,8,21,8.21,3072
"356","Male",322768,8,22,8.22,3324
"357","Male",325212,8,23,8.23,2444
"358","Male",327315,8,24,8.24,2103
"359","Male",330194,8,25,8.25,2879
"360","Male",332354,8,26,8.26,2160
"361","Male",334946,8,27,8.27,2592
"362","Male",337348,8,28,8.28,2402
"363","Male",340298,8,29,8.29,2950
"364","Male",342297,8,30,8.3,1999
"365","Male",344006,8,31,8.31,1709
"366","Male",346117,9,1,9.1,2111
"367","Male",348495,9,2,9.2,2378
"368","Male",350835,9,3,9.3,2340
"369","Male",353245,9,4,9.4,2410
"370","Male",355719,9,5,9.5,2474
"371","Male",357224,9,6,9.6,1505
"372","Male",358617,9,7,9.7,1393
"373","Male",359429,9,8,9.8,812
"374","Male",361051,9,9,9.9,1622
"375","Male",362679,9,10,9.1,1628
"376","Male",364731,9,11,9.11,2052
"377","Male",367162,9,12,9.12,2431
"378","Male",368459,9,13,9.13,1297
"379","Male",369597,9,14,9.14,1138
"380","Male",371046,9,15,9.15,1449
"381","Male",372752,9,16,9.16,1706
"382","Male",374646,9,17,9.17,1894
"383","Male",376730,9,18,9.18,2084
"384","Male",378892,9,19,9.19,2162
"385","Male",380480,9,20,9.2,1588
"386","Male",381901,9,21,9.21,1421
"387","Male",383438,9,22,9.22,1537
"388","Male",384959,9,23,9.23,1521
"389","Male",386661,9,24,9.24,1702
"390","Male",388687,9,25,9.25,2026
"391","Male",390753,9,26,9.26,2066
"392","Male",392328,9,27,9.27,1575
"393","Male",393417,9,28,9.28,1089
"394","Male",395012,9,29,9.29,1595
"395","Male",396552,9,30,9.3,1540
"396","Male",398313,10,1,10.1,1761
"397","Male",399431,10,2,10.2,1118
"398","Male",401556,10,3,10.3,2125
"399","Male",403070,10,4,10.4,1514
"400","Male",403885,10,5,10.5,815
"401","Male",405212,10,6,10.6,1327
"402","Male",406928,10,7,10.7,1716
"403","Male",408687,10,8,10.8,1759
"404","Male",410644,10,9,10.9,1957
"405","Male",412555,10,10,10.1,1911
"406","Male",414166,10,11,10.11,1611
"407","Male",415294,10,12,10.12,1128
"408","Male",416579,10,13,10.13,1285
"409","Male",418205,10,14,10.14,1626
"410","Male",419655,10,15,10.15,1450
"411","Male",421047,10,16,10.16,1392
"412","Male",422413,10,17,10.17,1366
"413","Male",424039,10,18,10.18,1626
"414","Male",425648,10,19,10.19,1609
"415","Male",427427,10,20,10.2,1779
"416","Male",428858,10,21,10.21,1431
"417","Male",431774,10,22,10.22,2916
"418","Male",434601,10,23,10.23,2827
"419","Male",437115,10,24,10.24,2514
"420","Male",438587,10,25,10.25,1472
"421","Male",440111,10,26,10.26,1524
"422","Male",442321,10,27,10.27,2210
"423","Male",444378,10,28,10.28,2057
"424","Male",446320,10,29,10.29,1942
"425","Male",448772,10,30,10.3,2452
"426","Male",450953,10,31,10.31,2181
